section,subsection,section_short,qID,question,model,doc_type,eval_version_v1,used_description_file_v1,answer_given_v1,answer_given_std_v1,eval_version_v2,used_description_file_v2,answer_given_v2,answer_given_std_v2,answer_given_diff
1. Overview,1.1 Descriptive full-text title,1. Overview,1,Provide a descriptive title using normal language without technical terms or acronyms.,gpt-4o-mini_temp0,abstract,v1_no_description,False,0.5,0.5773502691896257,v2_description,True,0.8333333333333334,0.408248290463863,0.33333333333333337
1. Overview,1.1 Descriptive full-text title,1. Overview,1,Provide a descriptive title using normal language without technical terms or acronyms.,gpt-4o-mini_temp0,article,v1_no_description,False,1.0,0.0,v2_description,True,1.0,0.0,0.0
1. Overview,1.1 Descriptive full-text title,1. Overview,1,Provide a descriptive title using normal language without technical terms or acronyms.,gpt-4o-mini_temp0,combined,v1_no_description,False,1.0,0.0,v2_description,True,1.0,0.0,0.0
1. Overview,1.1 Descriptive full-text title,1. Overview,1,Provide a descriptive title using normal language without technical terms or acronyms.,gpt-4o-mini_temp0,description,v1_no_description,False,0.6,0.5477225575051661,v2_description,True,0.7142857142857143,0.4879500364742666,0.11428571428571432
1. Overview,1.1 Descriptive full-text title,1. Overview,1,Provide a descriptive title using normal language without technical terms or acronyms.,gpt-4o-mini_temp0,meta_data,v1_no_description,False,0.6,0.5477225575051661,v2_description,True,1.0,0.0,0.4
1. Overview,1.1 Descriptive full-text title,1. Overview,1,Provide a descriptive title using normal language without technical terms or acronyms.,gpt-4o-mini_temp0,processed_data,v1_no_description,False,0.0,0.0,v2_description,True,1.0,0.0,1.0
1. Overview,1.1 Descriptive full-text title,1. Overview,1,Provide a descriptive title using normal language without technical terms or acronyms.,gpt-4o-mini_temp0,protocol,v1_no_description,False,1.0,0.0,v2_description,True,1.0,0.0,0.0
1. Overview,1.1 Descriptive full-text title,1. Overview,1,Provide a descriptive title using normal language without technical terms or acronyms.,gpt-4o-mini_temp0,readme,v1_no_description,False,0.75,0.4629100498862757,v2_description,True,1.0,0.0,0.25
1. Overview,1.1 Descriptive full-text title,1. Overview,1,Provide a descriptive title using normal language without technical terms or acronyms.,gpt-4o-mini_temp0,sop,v1_no_description,False,1.0,0.0,v2_description,True,1.0,0.0,0.0
1. Overview,1.1 Descriptive full-text title,1. Overview,1,Provide a descriptive title using normal language without technical terms or acronyms.,gpt-4o-mini_temp0,toxtemp,v1_no_description,False,1.0,,v2_description,True,1.0,,0.0
1. Overview,1.1 Descriptive full-text title,1. Overview,1,Provide a descriptive title using normal language without technical terms or acronyms.,gpt-5-mini,abstract,v1_no_description,False,1.0,0.0,v2_description,True,1.0,0.0,0.0
1. Overview,1.1 Descriptive full-text title,1. Overview,1,Provide a descriptive title using normal language without technical terms or acronyms.,gpt-5-mini,article,v1_no_description,False,1.0,0.0,v2_description,True,0.9285714285714286,0.2672612419124244,-0.0714285714285714
1. Overview,1.1 Descriptive full-text title,1. Overview,1,Provide a descriptive title using normal language without technical terms or acronyms.,gpt-5-mini,combined,v1_no_description,False,1.0,0.0,v2_description,True,1.0,0.0,0.0
1. Overview,1.1 Descriptive full-text title,1. Overview,1,Provide a descriptive title using normal language without technical terms or acronyms.,gpt-5-mini,description,v1_no_description,False,1.0,0.0,v2_description,True,0.8571428571428571,0.37796447300922725,-0.1428571428571429
